,country,dummy2011,emis_2011_actual,emis_2011_pred,emis_intens,emis_intens_last_year,emis_pc,emis_proj_2030,emis_proj_2035,emis_proj_2040,emis_proj_2045,emis_proj_2050,emis_tot,gdp_2030,gdp_2035,gdp_2040,gdp_2045,gdp_2050,gdp_pc,gdp_pc_2030,gdp_pc_2035,gdp_pc_2040,gdp_pc_2045,gdp_pc_2050,inc_bins,pop,pop_2030,pop_2035,pop_2040,pop_2045,pop_2050,year
0,Afghanistan,1,12251447.0,12251446.999999998,0.0002483153719441729,0.0001821841148003596,0.42093265598093554,605571.6842342238,974363.0077959289,1548263.0979024996,2390334.1033684956,3560898.310578656,12251447.0,5325833204.7396,8569249513.295251,13616539926.085468,21022318363.9106,31317102425.558163,1695.1534360731036,114.303,171.645,257.527,380.116,547.707,"(0, 1436.666]",29105480.0,46593993.2,49924259.45,52874222.61,55305007.85,57178568.88,2011
1,Bangladesh,1,57069520.99999999,57069520.99999935,0.00014422987277844243,0.00015108680265986661,0.3733390907540911,11022741.43854818,16487729.667376636,68370346.62294766,64862782.12783163,83077066.09590761,57069520.99999999,156905074322.89468,234697372091.88,333738873430.52045,449718084598.67944,576004571698.7264,2588.500451134648,917.807,1356.4,1920.861,2598.078,3366.512,"(2402.889, 4133.148]",152862431.0,170956502.1,173029616.7,173744416.4,173096452.3,171098327.2,2011
2,Benin,1,4987120.0,4987120.000000014,0.0003103134056223697,0.0003310439945567428,0.5099411592983288,100509.33884623693,170384.19574236294,283573.1132910347,456330.7101338879,705622.2276020178,4987120.0,572042331.4675201,969730511.5775198,1613937836.33052,2597176405.1156297,4016002779.90363,1643.3101182837474,41.99100000000001,65.91199999999999,102.626,156.16899999999995,230.639,"(0, 1436.666]",9779795.0,13622974.72,14712503.209999999,15726403.02,16630550.270000001,17412505.169999998,2011
3,Burkina Faso,1,1932509.0,1932508.9999999814,8.15952727159778e-05,7.570166656924614e-05,0.12081720438981094,-101836.73224915148,-172042.12705843427,-280947.17741151137,-439980.375917771,-660526.836633165,1932509.0,1920885697.69563,3245128294.7606,5299339471.9048,8299088086.40347,12459124771.6843,1480.6887748308582,77.421,121.423,186.044,276.461,398.143,"(0, 1436.666]",15995313.0,24810913.029999997,26725812.2,28484334.2,30019019.27,31293090.1,2011
4,Burundi,1,209019.0,209018.99999999366,2.9957640397736994e-05,2.902294184106994e-05,0.02190891708302054,8600.86007563672,16245.976387825223,29538.793176232746,50729.56630136705,81882.73474605806,209019.0,287100718.2624,542298264.2202001,986018684.5177902,1693376568.6432602,2733283852.096909,731.3298641729989,21.728,38.13,64.933,105.418,162.47899999999996,"(0, 1436.666]",9540362.0,13213398.299999999,14222351.54,15185170.63,16063448.07,16822382.29,2011
5,Cambodia,1,4495742.0,4495742.000000065,0.0001163132725770862,0.0001160034664625733,0.3078039488528647,71258.67811656614,99854.41112826865,133762.49744489655,172002.27311341395,211361.1883476617,4495742.0,1683232680.84855,2358705109.054139,3159662978.9126997,4062941594.4418006,4992655899.5073595,2646.3355559776614,109.745,154.75799999999995,210.093,275.684,348.056,"(0, 1436.666]",14605862.0,15337670.790000001,15241248.33,15039353.899999999,14737676.450000001,14344404.06,2011
6,Cameroon,1,5661848.000000001,5661848.000000021,0.00010254054236685221,0.00012649753456591087,0.26762030664003567,99604.62810132401,156115.48574723068,237045.62458823086,345767.29451057693,484446.00133783947,5661848.000000001,3487350756.26271,5465905226.1216,8299425979.84104,12105982010.9538,16961391868.41162,2609.897514317693,133.481,199.368,290.844,411.21,562.779,"(0, 1436.666]",21156272.0,26126195.91,27416161.200000003,28535661.66,29439901.78,30138636.779999997,2011
7,Central African Republic,1,286026.0,286025.9999999989,7.063809399446481e-05,6.735662179474826e-05,0.06447520488740745,4504.121521736105,7579.627039413287,12460.407290157793,19706.459411694676,29851.59470101056,286026.0,63763350.156206995,107302258.750176,176397841.24319997,278977790.839585,422599096.5066221,912.7540289020216,10.970999999999998,17.604,27.84,42.767,63.40600000000001,"(0, 1436.666]",4436217.0,5811990.717,6095333.944,6336129.3549999995,6523202.255,6664970.137,2011
8,Chad,1,539049.0,539048.9999999886,2.353499445484056e-05,2.2593089781499247e-05,0.044623124912614096,-89620.73833045085,-151832.8255996478,-250929.53473599488,-397886.0326677966,-604694.8185641818,539049.0,806843155.0494701,1366930002.2411397,2259084016.41336,3582113112.74952,5443984108.381501,1896.0329477977095,47.557,74.818,116.232,175.257,255.915,"(0, 1436.666]",12080037.0,16965812.71,18270068.729999997,19435990.23,20439201.36,21272626.100000005,2011
9,Comoros,1,157681.0,157680.9999999998,0.00015775659843069264,0.00013550924941032407,0.22518908451106515,328.0767549233557,536.8044865576956,838.8566111362402,1240.119998056391,1740.672412376691,157681.0,2079638.875248,3402738.724704,5317410.6153460005,7860970.700387,11033911.923129,1427.4463746757172,2.244,3.568,5.477,8.057,11.379,"(0, 1436.666]",700216.0,926755.2919999999,953682.378,970861.898,975669.691,969673.251,2011
10,"Congo, Dem. Rep.",1,3424978.0,3424977.999999977,8.150831029904124e-05,8.272039894376922e-05,0.05357261063996109,1282850.2261940269,2629736.0598283946,4990804.148920259,8778361.323705774,14363170.964855593,3424978.0,15738888727.878897,32263410321.969894,61230617229.2103,107698973166.04158,176217258242.25116,657.2656265773584,154.94299999999996,294.027,522.261,869.1619999999998,1359.7279999999996,"(0, 1436.666]",63931512.0,101578572.30000001,109729413.69999999,117241412.3,123911276.8,129597432.9,2011
11,Djibouti,1,473043.0,473043.0000000008,0.00020192121030338726,0.0002325898165646102,0.5587258429142758,959.8328564271021,1449.4772538388693,2103.7472228842844,2924.0210568415705,3897.401925716076,473043.0,7502072.641304002,11329142.962135,16442930.015719999,22854206.569656,30462170.744934,2767.048801236822,6.5470000000000015,9.517,13.39,18.172,23.818,"(0, 1436.666]",846646.0,1145879.432,1190411.155,1228000.748,1257660.498,1278955.863,2011
12,Eritrea,1,520714.00000000006,520714.0000000001,7.704197012316058e-05,8.254977681712649e-05,0.0877679065650045,4530.978103266194,7798.052716376621,13435.44510114248,22617.636055953997,36807.779095567406,520714.00000000006,58811815.11873199,101218241.225017,174391245.183169,293575515.005614,477762692.68200004,1139.221990620142,7.228,11.513,18.529,29.474,45.847,"(0, 1436.666]",5932852.0,8136665.068999999,8791647.809,9411800.161,9960491.111,10420806.0,2011
13,Ethiopia,1,7543019.0,7543018.999999966,7.204076861395436e-05,7.02815396008808e-05,0.08438036181845565,2820974.013025389,4758708.557748892,7815207.854362565,12339268.229818523,53431363.40109741,7543019.0,39158022149.1276,66055771604.124,108483127050.49051,171281740425.9128,258557767488.65924,1171.2862514089152,336.684,537.948,844.789,1285.909,1885.189,"(1436.666, 2402.889]",89393063.0,116304968.9,122792113.0,128414464.50000001,133198959.19999999,137152172.8,2011
14,"Gambia, The",1,421705.0,421705.0000000013,0.00015732421556196623,0.00016883761351739934,0.24306240007008784,585.7364975310277,918.9148195996615,1391.9020098040564,2017.8020369629774,2800.4570046745757,421705.0,25788108.108220004,40456886.005854994,61281002.04815101,88837382.14969501,123295181.86656,1544.9776704867877,10.765,16.115,23.539,33.279,45.504,"(0, 1436.666]",1734966.0,2395551.148,2510511.077,2603381.7090000003,2669472.705,2709546.015,2011
